"Subject Code","Course Number","Course Title","Course Description","Requirements","Credits - Academic Credit - Units","Credits - Academic Credit - Credit Hours Max","Credits - Academic Credit - Credit Hours Value","Credits - Academic Credit - Credit Hours Operator","Prerequisites"
"ACT","416","Smart Tax: Winning Ideas from Tax Professionals","This course explores hot topics in corporate tax and highlights strategies and cutting-edge insights from experienced tax professionals. Designed for students interested in consulting, finance, accounting, or entrepreneurship, Smart Tax equips future decision-makers with practical tools to navigate the complex and evolving tax landscape. Topics entity formation, corporate acquisitions, and bankruptcy-related tax implications. Students will also examine high-impact areas such as research and development (R&D) tax credits, transfer pricing, and tax-efficient structuring of cross-border operations. Through real-world case studies, practitioner guest lectures, and hands-on tax research projects, students will learn how to apply tax knowledge to identify value-creating strategies, minimize tax liabilities, and enhance corporate decision-making. The course bridges theory with practice and prepares students to contribute immediately in professional tax, finance, consulting, or advisory roles.","No","3","3","-","-","-"
"ACT","418","Auditing","Introduction to the concepts, principles, and procedures underlying assurance and financial statement auditing, with an emphasis on the revenue cycle. Topics include the auditing environment, audit planning, materiality, risk assessment, evidence and documentations, internal controls, audit sampling, auditing the revenue cycle, audit reports, professional conduct, and legal liability.","No","3","3","-","-","-"
"ACT","420","Accounting Analytics: Insights for Actions","This course teaches students how to use analytics with financial data to make better, data informed decisions. This course is an overview course and is designed to expose students to the many different ways in which data analytic tools can be used in accounting settings. To teach students how to successfully combine their understanding of accounting concepts with data analytics skills and tools, this course focuses on:
1. Reframing business issues that require the use of accounting knowledge into specific analytical questions
2. Manipulating data and calculating answers to the above framed questions
3. Communicating results with appropriate context in a meaningful and easy to understand manner","No","3","3","-","-","-"
"ACT","438","Corporate Political Strategy","By electing politicians who appoint regulators, voters effectively set the ""rules of the game"" for all businesses. Recognizing this, firms invest resources to glean information about future political developments and shape their disclosure practices to potentially influence political outcomes. In this class, you will learn how businesses leverage information dynamics to manage the risks and opportunities presented by political systems. We will examine government regulation of industry, activist and public interest groups, the role of lobbying and campaign contributions in the policymaking process, ethical frameworks for corporate political strategy, and other related topics. The course is case-based, drawing on case studies from a variety of institutional environments.","No","3","3","-","-","-"
"ACT","450","Accounting for Mergers & Acquisitions","In this course, you¿ll learn how to report and analyze mergers and acquisitions, joint ventures and affiliate holdings, noncontrolling interests, goodwill and bargain purchases, intercompany transfers of inventory and long-lived assets, foreign currency transactions, derivative financial instruments and hedging transactions, investments in foreign subsidiaries, operating segments, discontinued operations, and equity carve-outs and spin-offs. Throughout the course, you¿ll analyze the effects of these transactions on the financial performance of well-known firms operating around the world.","No","3","3","-","-","-"
"ACT","477","Machine Learning for Fundamental Analysis","This course covers how fundamental analysis, valuation models, and portfolio optimization can be used for investing, both conceptually and practically. You will learn how to design an ""end-to-end"" accounting-based investing system from concept to implementation, including state-of-the-art accounting-based valuation models, innovative methods such as machine learning and artificial intelligence, and the coding skills required to calibrate these models for forecasting and prediction.","No","3","3","-","-","-"
"ACT","497","Directed Study","A Directed Study (DS) is conducted with permission and semi-autonomously, under the supervision of a Goizueta faculty member. The content should represent a line of intellectual inquiry that is aligned with, but falls outside, what is available in the context of the School's elective offerings. It replaces an academic course and may carry variable academic hours. The DS project should contain significant & commensurate content that carries the rigor, time commitment & standards of an elective in the area of study.","No","1","16","-","-","-"
"ACT","499R","Special Topics","Special topics in accounting.","No","1","12","-","-","-"
"ACT","501","Strategic Cost Management","This course covers the internal generation and interpretation of information for strategic and operational decision-making purposes, which is of paramount importance for decision-making in organizations. You will learn how to identify information that is relevant for decision-making, cost and revenue behavior, different costing techniques, profit planning, customer profitability analysis, and how to evaluate performance against plans. This course is especially useful if you are interested in consulting and will prepare you for your interviews with consulting companies.","No","3","3","-","-","-"
"ACT","504","Blockchains & Crypto Assets","This course will discuss the transformative world of blockchains and crypto assets and how they are reshaping aspects of accounting, finance, and global trade. We will cover the evolution of money, inflation, ledgers, and the impact of decentralized systems on the modern economy. We will cover foundational concepts such as decentralization, cryptography, consensus mechanisms, and block creation to show how crypto assets are tied to blockchains. We will discuss topics such as tokenomics, staking, and farming and potential opportunities and risks associated with blockchain and crypto assets.","No","3","3","-","-","-"
